Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000016_(6).jpg,5.5937,16,10,600x800,480000
00000016_(7).jpg,5.9703,16,10,1600x319,510400
00000017.jpg,7.3170,16,10,800x800,640000
00000017_(2).jpg,7.7348,16,10,800x800,640000
00000017_(3).jpg,7.6618,16,10,1024x681,697344
00000017_(4).jpg,5.1775,16,10,533x800,426400
00000017_(5).jpg,7.6944,16,10,800x800,640000
00000017_(6).jpg,9.0426,16,10,1024x768,786432
00000017_(7).jpg,8.3288,16,10,1023x700,716100
00000018.jpg,7.5282,16,10,800x800,640000
00000018_(2).jpg,4.7332,16,10,640x640,409600
00000018_(3).jpg,7.6095,16,10,1024x683,699392
00000018_(4).jpg,6.0905,16,10,1600x362,579200
00000018_(5).jpg,12.0570,16,10,1024x1024,1048576
00000018_(6).jpg,2.8611,16,10,640x436,279040
00000018_(7).jpg,17.1883,16,10,1600x1006,1609600
00000019.jpg,12.6445,16,10,1600x770,1232000
00000019_(2).jpg,6.0590,16,10,1024x576,589824
00000019_(3).jpg,7.3362,16,10,1024x686,702464
00000019_(4).jpg,17.0780,16,10,1600x1066,1705600
00000019_(5).jpg,10.7722,16,10,1600x670,1072000
00000019_(6).jpg,17.8414,16,10,1600x1068,1708800
00000020.jpg,6.3305,16,10,800x800,640000
00000020_(2).jpg,13.4748,16,10,1599x909,1453491
00000020_(3).jpg,6.8342,16,10,1024x683,699392
00000020_(4).jpg,6.8930,16,10,800x800,640000
00000020_(5).jpg,18.0842,16,10,1600x1066,1705600
00000020_(6).jpg,14.9561,16,10,1600x900,1440000
00000021.jpg,4.0053,16,10,640x640,409600
00000021_(2).jpg,8.4235,16,10,1024x1024,1048576
00000021_(3).jpg,5.6493,16,10,1024x683,699392
00000021_(4).jpg,13.5784,16,10,1600x1066,1705600
00000021_(5).jpg,5.8288,16,10,682x1023,697686
00000021_(6).jpg,5.6364,16,10,1598x334,533732
00000021_(7).jpg,5.7670,16,10,800x715,572000
